Time(s),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14
3.635,0.480000,0.578000,1.199000,2.839000,0.065000,1.077000,0.444000,0.413000,3.370000,0.575000,0.640000,-0.092000,0.040000,0.000000
3.669,0.480000,0.681000,1.267000,2.941000,0.131000,1.174000,0.412000,0.478000,3.370000,0.575000,0.640000,-0.061000,0.000000,0.000000
3.724,0.480000,0.544000,1.267000,2.805000,0.033000,1.077000,0.423000,0.413000,3.796000,0.543000,0.640000,0.062000,-0.031000,0.157000
3.805,0.611000,0.681000,1.332000,2.839000,0.131000,1.109000,0.509000,0.380000,3.437000,0.575000,0.673000,-0.061000,-0.062000,0.031000
3.862,0.448000,0.578000,1.267000,2.805000,0.033000,1.109000,0.412000,0.413000,3.403000,0.543000,0.770000,-0.061000,0.040000,0.031000
3.917,0.448000,0.715000,1.233000,2.839000,0.065000,1.174000,0.509000,0.413000,3.403000,0.543000,0.673000,-0.092000,-0.031000,0.000000
3.976,0.448000,0.578000,1.236000,2.771000,0.098000,1.077000,0.423000,0.380000,3.437000,0.673000,0.640000,0.000000,-0.031000,0.094000
4.038,0.513000,0.544000,1.270000,2.805000,0.065000,1.077000,0.423000,0.380000,3.437000,0.575000,0.640000,-0.092000,-0.062000,0.000000
4.090,0.480000,0.612000,1.233000,2.805000,0.033000,1.109000,0.412000,0.413000,3.570000,0.543000,0.770000,-0.061000,0.040000,0.000000
4.174,0.448000,0.612000,1.368000,2.839000,0.033000,1.142000,0.412000,0.413000,3.503000,0.575000,0.673000,-0.092000,-0.031000,0.031000
4.207,0.513000,0.612000,1.301000,2.771000,0.065000,1.109000,0.423000,0.543000,3.470000,0.640000,0.673000,0.000000,-0.062000,0.031000
4.287,0.448000,0.578000,1.267000,2.771000,0.065000,1.109000,0.444000,0.413000,3.503000,0.608000,0.673000,-0.061000,-0.031000,0.000000
4.361,0.480000,0.612000,1.267000,2.805000,0.033000,1.109000,0.542000,0.413000,3.570000,0.575000,0.705000,-0.092000,-0.031000,0.000000
4.392,0.448000,0.612000,1.236000,2.771000,0.033000,1.109000,0.444000,0.413000,3.503000,0.543000,0.640000,-0.061000,-0.062000,0.000000
4.456,0.546000,0.510000,1.233000,2.737000,0.033000,1.240000,0.390000,0.445000,3.503000,0.608000,0.640000,-0.061000,-0.031000,0.031000
4.573,0.448000,0.510000,1.267000,2.771000,0.065000,1.109000,0.412000,0.445000,3.503000,0.543000,0.673000,-0.092000,-0.031000,0.126000
4.626,0.448000,0.544000,1.199000,2.771000,0.197000,1.142000,0.509000,0.413000,3.536000,0.543000,0.640000,-0.092000,0.000000,0.031000
4.709,0.448000,0.544000,1.233000,2.805000,0.033000,1.174000,0.444000,0.445000,3.470000,0.673000,0.607000,-0.092000,0.102000,0.000000
4.762,0.480000,0.510000,1.470000,2.873000,0.033000,1.240000,0.444000,0.445000,3.503000,0.543000,0.607000,-0.061000,-0.031000,0.031000
4.822,0.448000,0.510000,1.233000,2.737000,0.065000,1.142000,0.444000,0.380000,3.603000,0.510000,0.607000,0.031000,-0.062000,0.126000
4.865,0.448000,0.510000,1.301000,2.737000,0.065000,1.142000,0.509000,0.413000,3.503000,0.510000,0.640000,-0.092000,-0.062000,0.063000
4.931,0.448000,0.544000,1.233000,2.771000,0.065000,1.207000,0.412000,0.413000,3.536000,0.510000,0.738000,-0.092000,0.071000,0.063000
5.013,0.448000,0.578000,1.233000,2.771000,0.197000,1.207000,0.412000,0.413000,3.503000,0.543000,0.607000,-0.092000,-0.031000,0.000000
5.054,0.480000,0.510000,1.267000,2.771000,0.098000,1.142000,0.444000,0.413000,3.503000,0.640000,0.607000,0.031000,0.000000,0.063000
5.135,0.513000,0.510000,1.236000,2.805000,0.098000,1.142000,0.412000,0.380000,3.536000,0.771000,0.575000,-0.061000,-0.031000,0.000000
5.180,0.602000,0.544000,1.267000,2.839000,0.033000,1.174000,0.412000,0.380000,3.636000,0.543000,0.673000,-0.061000,0.040000,0.031000
5.230,0.448000,0.476000,1.366000,2.805000,0.065000,1.174000,0.412000,0.413000,3.503000,0.510000,0.607000,-0.092000,-0.062000,0.031000
5.306,0.546000,0.510000,1.301000,2.771000,0.098000,1.142000,0.423000,0.511000,3.863000,0.575000,0.575000,-0.031000,-0.031000,0.063000
5.364,0.448000,0.544000,1.199000,2.771000,0.098000,1.142000,0.444000,0.413000,3.536000,0.477000,0.607000,-0.061000,-0.031000,0.031000
5.418,0.448000,0.578000,1.233000,2.839000,0.033000,1.142000,0.542000,0.380000,3.603000,0.477000,0.607000,-0.092000,-0.031000,0.000000
5.487,0.448000,0.476000,1.236000,2.771000,0.033000,1.174000,0.770000,0.445000,3.536000,0.477000,0.521000,-0.061000,-0.031000,0.031000
5.529,0.546000,0.510000,1.233000,2.771000,0.065000,1.272000,0.423000,0.478000,3.536000,0.445000,0.510000,-0.092000,-0.031000,0.031000
5.529,0.448000,0.510000,1.267000,3.075000,0.098000,1.174000,0.444000,0.413000,3.570000,0.380000,0.488000,-0.092000,-0.031000,0.126000
5.590,0.448000,0.510000,1.233000,2.771000,0.131000,1.142000,0.509000,0.445000,3.503000,0.347000,0.444000,-0.092000,0.000000,0.000000
5.650,0.448000,0.544000,1.233000,2.771000,0.420000,1.174000,0.444000,0.478000,3.470000,0.261000,0.260000,-0.092000,0.102000,0.000000
5.721,0.448000,0.510000,1.233000,2.907000,0.065000,1.174000,0.444000,0.380000,3.470000,-0.130000,-0.117000,-0.061000,-0.031000,0.000000
5.779,0.448000,0.817000,1.233000,2.737000,0.131000,1.142000,0.509000,0.413000,3.503000,-1.224000,-1.061000,0.031000,-0.031000,0.094000
